Index    name         key              s           l     floor.x         floor.y         floor.z         floor.theta     floor.phi       floor.psi       spin.x          spin.y          spin.z
     72  LSPA1M       Drift                8.726   0.089   -0.0000000000    0.0000000000    8.7148423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     73  QDA1M1       Quadrupole           8.801   0.075   -0.0000000000    0.0000000000    8.7898423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     74  LQDA1M1      Drift                8.888   0.087   -0.0000000000    0.0000000000    8.8768423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     75  QFA1M2       Quadrupole           9.009   0.121   -0.0000000000    0.0000000000    8.9978423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     76  LQFA1M2      Drift                9.096   0.087   -0.0000000000    0.0000000000    9.0848423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     77  QDA1M3       Quadrupole           9.171   0.075   -0.0000000000    0.0000000000    9.1598423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     78  LQDA1M3      Drift                9.249   0.077   -0.0000000000    0.0000000000    9.2373423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     79  LA1M02       Drift                9.369   0.120   -0.0000000000    0.0000000000    9.3573423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     80  LA1M03       Drift                9.409   0.040   -0.0000000000    0.0000000000    9.3973423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     81  L0SCA1MS     Drift                9.489   0.080   -0.0000000000    0.0000000000    9.4773423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     82  SCA1MS       Drift                9.489   0.000   -0.0000000000    0.0000000000    9.4773423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     83  LSCA1MS      Drift                9.569   0.080   -0.0000000000    0.0000000000    9.5573423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     84  LA1M04       Drift                9.574   0.005   -0.0000000000    0.0000000000    9.5623423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     85  LA1M05       Drift                9.614   0.040   -0.0000000000    0.0000000000    9.6023423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     86  LA1M06       Drift                9.676   0.062   -0.0000000000    0.0000000000    9.6643423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     87  L0SCA1M      Drift                9.804   0.129   -0.0000000000    0.0000000000    9.7928423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     88  SCA1M        Drift                9.804   0.000   -0.0000000000    0.0000000000    9.7928423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     89  LSCA1M       Drift                9.847   0.043   -0.0000000000    0.0000000000    9.8353423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     90  L0WSA1M      Drift                9.889   0.043   -0.0000000000    0.0000000000    9.8778423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     91  WSA1M        Drift                9.889   0.000   -0.0000000000    0.0000000000    9.8778423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     92  LWSA1M       Drift                9.932   0.043   -0.0000000000    0.0000000000    9.9203423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     93  LA1M07       Drift               10.055   0.123   -0.0000000000    0.0000000000   10.0433423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     94  GVA20        Drift               10.160   0.105   -0.0000000000    0.0000000000   10.1483423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     95  LA1M08       Drift               10.200   0.040   -0.0000000000    0.0000000000   10.1883423503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     96  AKA21        Lcavity             10.235   0.035   -0.0000000000    0.0000000000   10.2233321503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     97  PACA21       Marker              10.235   0.000   -0.0000000000    0.0000000000   10.2233321503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
     98  ACA21        Lcavity             10.795   0.560   -0.0000000000    0.0000000000   10.7831689503    0.0000000000    0.0000000000    0.0000000000   -0.0000000000    1.0000000000   -0.0000000000
