     Ix       Turn             x              px               y              py               z              pz         spin_x    spin_y    spin_z    State
       58     1200 -4.50701471E-05 -4.23584962E-04  2.92838607E-07  2.37953697E-04  1.15978465E-02 -7.24794775E-04    -0.011624 -0.020561  0.999721    Alive
       59     1200 -1.66186551E-05  1.05508513E-04  6.31057759E-08 -8.24020005E-05  1.61108471E-02 -7.52207152E-04    -0.016183  0.006800  0.999846    Alive
       60     1200  2.47872293E-05 -3.65299416E-04  2.40081304E-08  2.50966975E-04  1.45561522E-02 -3.20854712E-04     0.025007 -0.007369  0.999660    Alive
       61     1200  1.30455322E-05  9.33830971E-05  6.93068636E-08  1.20955927E-04  1.32811359E-02  7.63186020E-05     0.012975 -0.026581  0.999562    Alive
       62     1200 -2.46246375E-05 -2.29932038E-04  1.61576661E-09 -1.62959067E-04  2.00681435E-02 -2.14345986E-04     0.022150 -0.016455  0.999619    Alive
       63     1200 -1.11310845E-05  2.59335496E-04  3.27903661E-08 -1.40406245E-05  1.35553010E-02 -6.57661662E-04     0.019610 -0.006592  0.999786    Alive
       64     1200 -6.08682783E-07  3.18825042E-04 -7.85491456E-10  8.56924475E-05  2.34287536E-02 -5.72709946E-04     0.020829  0.005518  0.999768    Alive
       65     1200  1.10683489E-05  8.85830315E-05  2.99499119E-07 -1.18738058E-04  2.21822440E-02 -8.85421516E-04     0.008695 -0.028457  0.999557    Alive
       66     1200  9.80670781E-06  3.28697846E-04 -6.11231840E-08  1.17827875E-04  2.01053114E-02 -1.18859341E-03     0.007846 -0.053091  0.998559    Alive
       67     1200 -2.60887694E-05 -6.26491824E-05  7.80835639E-09  9.95599872E-05  1.96205174E-02 -8.61525634E-04    -0.001231 -0.006668  0.999977    Alive
       68     1200 -2.16635288E-05 -4.81555197E-04  2.22553058E-07 -9.73138982E-05  2.10902964E-02  4.33641191E-04     0.010824 -0.023808  0.999658    Alive
       69     1200 -1.00617789E-05  4.47243767E-04  4.98571634E-09  1.33917442E-04  2.13935357E-02 -5.50605570E-04     0.007514 -0.031084  0.999489    Alive
       70     1200 -7.07052931E-06 -4.64979964E-04  4.02050349E-07  1.48348953E-04  9.70905055E-03  1.18280115E-03    -0.006050 -0.041150  0.999135    Alive
       71     1200 -9.27206351E-06  8.24342368E-04 -3.06293980E-07  9.80928006E-05  1.66366639E-02  9.67962464E-04     0.053416  0.022095  0.998328    Alive
       73     1200  1.14779635E-05  4.61598858E-04 -1.11165988E-07 -6.50086883E-05  1.18256328E-02  2.16234942E-04     0.014896 -0.006841  0.999866    Alive
       74     1200  3.89149972E-05  2.76820426E-05 -3.35497811E-07  7.01497202E-05  1.30618393E-02  2.59875877E-04    -0.004577 -0.007404  0.999962    Alive
       75     1200  1.94193026E-05  9.53711115E-05 -1.11174906E-07  8.60417199E-05  2.49067790E-02 -3.77930919E-04     0.044383 -0.008921  0.998975    Alive
       76     1200  1.57980790E-05  3.89498710E-04 -3.11977456E-08 -3.41458360E-06  1.74043644E-02  4.40509709E-04     0.013027 -0.008192  0.999882    Alive
       77     1200  2.14976774E-05  1.48863239E-04 -9.93270713E-08  9.21168369E-05  2.13246202E-02 -1.19426384E-04    -0.005168 -0.014615  0.999880    Alive
       78     1200  8.05926289E-07 -2.53677532E-04 -1.18501356E-08 -7.73667348E-05  2.23645116E-02 -4.96942990E-04    -0.007965  0.003376  0.999963    Alive
       79     1200  3.02441370E-05 -6.38158429E-04 -4.56667800E-08  9.21572536E-05  6.63148636E-03 -2.77671353E-04     0.000294 -0.019953  0.999801    Alive
       80     1200 -1.70049902E-06  4.12031899E-04  7.23631151E-08 -6.10508504E-05  1.85729909E-02  3.86395758E-04     0.004321  0.009744  0.999943    Alive
       81     1200  2.03051747E-05  2.02328585E-04 -5.84530218E-08  1.58671436E-05  1.20496801E-02  2.10781091E-04     0.011699 -0.003888  0.999924    Alive
       82     1200 -3.50720823E-05 -1.72055192E-04  2.64553220E-06  1.45654609E-04  2.57755816E-02  5.44168491E-04     0.039365  0.024176  0.998932    Alive
       83     1200  2.73224452E-06  2.79512284E-04 -1.43007677E-08  1.42594156E-05  2.06986068E-02 -1.95367656E-04     0.011741 -0.019624  0.999738    Alive
       84     1200 -5.15423789E-05 -8.38159916E-05  7.60272211E-08  5.02234539E-05  2.34423426E-02  5.93670369E-04     0.015437  0.025989  0.999543    Alive
       85     1200  1.36377537E-05 -3.41215522E-04  6.16779005E-08  1.29826102E-04  1.61504860E-02  1.00724496E-03     0.042789  0.025831  0.998750    Alive
       86     1200  1.02993894E-05  7.25854966E-04 -2.93526956E-08 -4.34710367E-05  1.38828844E-02  6.24512673E-04     0.024110  0.004698  0.999698    Alive
       87     1200  1.17713233E-05  2.48443394E-04 -1.41701746E-07  2.68517988E-04  3.27925008E-02 -8.86102343E-04    -0.051768  0.070448  0.996171    Alive
       88     1200 -1.33469118E-05  1.20927438E-04 -2.84945669E-08  3.49872965E-05  1.64823891E-02  7.74701991E-04     0.045009  0.003229  0.998981    Alive
       89     1200  4.36650270E-05  1.25212966E-04  5.08895591E-08  1.97642379E-05  1.37785121E-02 -2.35662297E-04     0.024177 -0.003099  0.999703    Alive
       90     1200 -5.71113953E-06  3.50018766E-04  3.43378243E-07  7.77444662E-04  2.00712973E-02 -1.62296931E-03    -0.062372 -0.057108  0.996418    Alive
       91     1200 -2.19084321E-05 -5.94099932E-05  8.67432354E-10  7.21332276E-05  1.76949669E-02  7.78735010E-04     0.021652  0.009444  0.999721    Alive
       92     1200 -1.44008117E-05  3.09112157E-04 -8.90087181E-09  2.20414253E-05  1.64288852E-02  1.24595701E-04     0.033382 -0.024092  0.999152    Alive
       93     1200 -1.75091251E-05  6.35888510E-04  8.91341892E-10 -1.96001511E-04  1.94016122E-02 -1.22424405E-03    -0.022395 -0.048117  0.998591    Alive
       94     1200  1.03011766E-05 -2.66948320E-04 -1.53365926E-07 -5.34389140E-05  2.05902918E-02  4.09780701E-04     0.014259 -0.009632  0.999852    Alive
       95     1200 -3.02843206E-05 -2.98084048E-04  1.86401976E-08  5.98854837E-05  1.08377826E-02 -1.22732981E-04    -0.021305 -0.013003  0.999688    Alive
       96     1200 -6.47671137E-06  3.14014704E-04  2.33578582E-08  1.21424680E-04  2.21531026E-02 -2.03120491E-04     0.019163  0.002051  0.999814    Alive
       97     1200  4.42956394E-05  4.80996180E-05  1.05942667E-07 -2.59443496E-04  2.38819349E-02  7.13684313E-05     0.018550 -0.008287  0.999794    Alive
       98     1200 -1.51522704E-05  4.81958444E-04 -5.33686633E-08 -3.78223633E-05  2.13147717E-02  2.07393458E-04     0.031352 -0.004548  0.999498    Alive
       99     1200 -1.42543134E-05  4.19431149E-04  6.70240596E-08  1.51519782E-04 -1.43254530E-04 -3.66968365E-04     0.037013  0.032893  0.998773    Alive
      100     1200  1.03644899E-05 -1.41901783E-04 -3.34253001E-08 -1.33571416E-04  1.80892651E-02  9.08956074E-04     0.017250  0.010315  0.999798    Alive
