     Ix       Turn             x              px               y              py               z              pz        spin_x    spin_y    spin_z    State
       72        0  2.71979081E-05  2.95318577E-04 -4.96271316E-08  3.42079822E-06  1.00615285E-02 -2.08314766E-03     0.000000  0.000000  1.000000    Alive
       73        0  3.71373744E-05  1.97725646E-04  1.15367501E-07 -1.43453781E-04  1.42628475E-02 -1.67608950E-04     0.000000  0.000000  1.000000    Alive
       74        0  3.31132471E-05  3.91912342E-04  2.12223365E-07 -3.04960707E-07  1.47787469E-02 -1.03510339E-03     0.000000  0.000000  1.000000    Alive
       75        0  8.87235994E-06  3.04559448E-04  2.58287202E-08  6.90175399E-05  1.65800874E-02  5.15338764E-04     0.000000  0.000000  1.000000    Alive
       76        0  2.55849250E-05  2.95938257E-04 -1.12144468E-08 -7.82963402E-05  1.31461415E-02  8.63264509E-07     0.000000  0.000000  1.000000    Alive
       77        0  2.26405780E-05  1.59073347E-04 -3.99054415E-08 -4.73521994E-05  2.66430112E-02  2.82369724E-04     0.000000  0.000000  1.000000    Alive
       78        0  1.03639781E-05 -4.97453628E-04 -6.28994938E-08 -9.05049229E-05  2.10216435E-02  2.38364588E-04     0.000000  0.000000  1.000000    Alive
       79        0  3.47977331E-05  7.08116078E-04  1.55132960E-07  4.46439600E-05  2.37618102E-02 -1.33318293E-04     0.000000  0.000000  1.000000    Alive
       80        0  2.40496859E-05 -9.48041397E-05  1.10058692E-07 -9.17673081E-05  2.07163197E-02  3.18482145E-05     0.000000  0.000000  1.000000    Alive
       81        0  7.45613311E-06  3.74837335E-04  1.00602698E-07  3.67526107E-05  1.35410515E-02  2.82344146E-04     0.000000  0.000000  1.000000    Alive
       82        0  3.50901890E-05 -1.59200453E-05  1.05032417E-07  3.49074988E-05  1.97476736E-02  1.07759629E-03     0.000000  0.000000  1.000000    Alive
       83        0  3.24096131E-05 -1.58450827E-04  3.84861087E-08  3.92559862E-05  2.46465085E-02 -4.30046638E-04     0.000000  0.000000  1.000000    Alive
       84        0  4.32334766E-05 -1.52328363E-04  8.48768558E-09  9.48344837E-05  1.78951313E-02  2.00128046E-04     0.000000  0.000000  1.000000    Alive
       85        0  5.17374165E-06  4.69682859E-04  2.82191563E-08 -1.01804763E-04  1.47729769E-02  7.81755958E-04     0.000000  0.000000  1.000000    Alive
       86        0  4.41687089E-05  2.28367442E-05  5.17621273E-08  1.22062743E-05  1.28020875E-02  5.17140775E-04     0.000000  0.000000  1.000000    Alive
       87        0  2.03094833E-05 -1.04378819E-05  1.01038658E-07  2.92814465E-05  2.46376354E-02  1.05812771E-03     0.000000  0.000000  1.000000    Alive
       88        0  1.34384738E-05  1.10351250E-04 -1.22143418E-08  3.73759904E-05  1.54990717E-02  1.01168364E-03     0.000000  0.000000  1.000000    Alive
       89        0  3.74779685E-05 -1.12705392E-04  2.59918084E-08  1.15972562E-06  1.45316370E-02  1.88422134E-04     0.000000  0.000000  1.000000    Alive
       90        0  1.09806665E-05 -9.89472356E-06  1.30815055E-07 -1.47455162E-05  3.12502917E-02  8.04189101E-04     0.000000  0.000000  1.000000    Alive
       91        0  1.11816311E-05  1.15816477E-04  3.99676149E-08  3.34587245E-05  9.20235106E-03  2.43884862E-04     0.000000  0.000000  1.000000    Alive
       92        0  3.20709186E-05  3.69966850E-05  3.25134231E-10 -3.17855063E-05  1.37478291E-02  1.84489919E-04     0.000000  0.000000  1.000000    Alive
       93        0  5.48027085E-05 -9.72435505E-05 -1.93809076E-08 -3.33498717E-05  1.69641250E-02 -7.12509085E-04     0.000000  0.000000  1.000000    Alive
       94        0  1.96267773E-07 -3.64541597E-04  1.50683990E-08  8.64536599E-05  1.87155807E-02  4.80118674E-04     0.000000  0.000000  1.000000    Alive
       95        0  2.77720121E-05 -3.18758797E-04  5.13282077E-08  4.49097008E-05  1.29978887E-02 -7.42160562E-04     0.000000  0.000000  1.000000    Alive
       96        0 -2.76173857E-06  3.95935467E-04  1.66475671E-07 -3.08059298E-05  9.07518757E-03 -1.01668897E-04     0.000000  0.000000  1.000000    Alive
       97        0  3.53666956E-05 -2.75308479E-04  6.42440610E-08  9.72454695E-07  1.97505239E-02  1.15434719E-03     0.000000  0.000000  1.000000    Alive
       98        0  3.86677071E-05 -2.87079025E-04  1.17847750E-07  5.83093145E-05  1.53120686E-02  2.60170954E-04     0.000000  0.000000  1.000000    Alive
       99        0  1.21941042E-05 -3.37408450E-04  6.04720579E-08 -7.57299307E-05  2.19160118E-02 -1.55320430E-03     0.000000  0.000000  1.000000    Alive
      100        0 -5.15671571E-06  1.15785612E-04  1.46508628E-07 -8.08125454E-05  1.57315029E-02  2.82018833E-04     0.000000  0.000000  1.000000    Alive
