  Index  name               key              s          l      floor.x     floor.y     floor.z     floor.theta floor.phi   floor.psi     spin.x          spin.y          spin.z
     73  ESRE350            Marker               0.350   0.000  7.1632E-12  1.3315E-12 -3.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0249690444    0.9994265710   -0.0228708545
     74  ECSRE355           Sad_Mult             0.360   0.010  7.1629E-12  1.3315E-12 -3.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0255718398    0.9993923855   -0.0236841874
     75  ESRE360            Marker               0.360   0.000  7.1629E-12  1.3315E-12 -3.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0255718398    0.9993923855   -0.0236841874
     76  ECSRE365           Sad_Mult             0.370   0.010  7.1626E-12  1.3315E-12 -3.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0261726473    0.9993574473   -0.0244884673
     77  ESRE370            Marker               0.370   0.000  7.1626E-12  1.3315E-12 -3.7000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0261726473    0.9993574473   -0.0244884673
     78  ECSRE375           Sad_Mult             0.380   0.010  7.1624E-12  1.3314E-12 -3.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0267712769    0.9993218145   -0.0252825988
     79  ESRE380            Marker               0.380   0.000  7.1624E-12  1.3314E-12 -3.8000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0267712769    0.9993218145   -0.0252825988
     80  ECSRE385           Sad_Mult             0.390   0.010  7.1621E-12  1.3314E-12 -3.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0273675158    0.9992855536   -0.0260653310
     81  ESRE390            Marker               0.390   0.000  7.1621E-12  1.3314E-12 -3.9000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0273675158    0.9992855536   -0.0260653310
     82  ECSRE395           Sad_Mult             0.400   0.010  7.1619E-12  1.3314E-12 -4.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0279611250    0.9992487417   -0.0268351951
     83  ESRE400            Marker               0.400   0.000  7.1619E-12  1.3314E-12 -4.0000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0279611250    0.9992487417   -0.0268351951
     84  ECSRE405           Sad_Mult             0.410   0.010  7.1616E-12  1.3314E-12 -4.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0285518351    0.9992114687   -0.0275904610
     85  ESRE410            Marker               0.410   0.000  7.1616E-12  1.3314E-12 -4.1000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0285518351    0.9992114687   -0.0275904610
     86  ECSRE415           Sad_Mult             0.420   0.010  7.1613E-12  1.3314E-12 -4.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0291393428    0.9991738383   -0.0283291279
     87  ESRE420            Marker               0.420   0.000  7.1613E-12  1.3314E-12 -4.2000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0291393428    0.9991738383   -0.0283291279
     88  ECSRE425           Sad_Mult             0.430   0.010  7.1611E-12  1.3314E-12 -4.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0297233050    0.9991359701   -0.0290488968
     89  ESRE430            Marker               0.430   0.000  7.1611E-12  1.3314E-12 -4.3000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0297233050    0.9991359701   -0.0290488968
     90  QC1RPE435          Sad_Mult             0.440   0.010  7.1608E-12  1.3314E-12 -4.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0303033241    0.9990980032   -0.0297470761
     91  ESRE440            Marker               0.440   0.000  7.1608E-12  1.3314E-12 -4.4000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0303033241    0.9990980032   -0.0297470761
     92  QC1RPE445          Sad_Mult             0.450   0.010  7.1605E-12  1.3314E-12 -4.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0308789702    0.9990601022   -0.0304204118
     93  ESRE450            Marker               0.450   0.000  7.1605E-12  1.3314E-12 -4.5000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0308789702    0.9990601022   -0.0304204118
     94  QC1RPE455          Sad_Mult             0.460   0.010  7.1603E-12  1.3314E-12 -4.6000E-01 -6.2832E+00  8.7701E-16  3.0552E-15    0.0314497380    0.9990224608   -0.0310650398
